# Observer      : 1
# Position      : (2.20000000e-01 1.50000000e-01 -1.00000000e-02)
# Time          	p(Curle)        
108.14          1.92331138e-07
108.15          1.91819117e-07
108.16          1.91362826e-07
108.17          1.90894023e-07
108.18          1.90450235e-07
108.19          1.89985881e-07
108.2           1.89534709e-07
108.21          1.89112526e-07
108.22          1.88667536e-07
108.23          1.88228428e-07
108.24          1.87800695e-07
108.25          1.87378892e-07
108.26          1.87059628e-07
108.27          1.86676014e-07
108.28          1.86304311e-07
108.29          1.85960750e-07
108.3           1.85560627e-07
108.31          1.85181456e-07
108.32          1.84860598e-07
108.33          1.84537557e-07
108.34          1.84211956e-07
108.35          1.83909322e-07
108.36          1.83639882e-07
108.37          1.83343241e-07
108.38          1.83058539e-07
108.39          1.82794934e-07
108.4           1.82500732e-07
108.41          1.82254246e-07
108.42          1.82014710e-07
108.43          1.81799173e-07
108.44          1.81559281e-07
108.45          1.81350106e-07
108.46          1.81161897e-07
108.47          1.80983764e-07
108.48          1.80795824e-07
108.49          1.80599611e-07
108.5           1.80394148e-07
108.51          1.80263421e-07
108.52          1.80144176e-07
108.53          1.79970439e-07
108.54          1.79855668e-07
108.55          1.79750055e-07
108.56          1.79663534e-07
108.57          1.79550947e-07
108.58          1.79496711e-07
108.59          1.79344801e-07
108.6           1.79319902e-07
108.61          1.79266232e-07
108.62          1.79212980e-07
108.63          1.79170965e-07
108.64          1.79137359e-07
108.65          1.79113641e-07
108.66          1.79127833e-07
108.67          1.79131562e-07
108.68          1.79129780e-07
108.69          1.79143586e-07
108.7           1.79181097e-07
108.71          1.79213761e-07
108.72          1.79275011e-07
108.73          1.79338609e-07
108.74          1.79367970e-07
108.75          1.79476782e-07
108.76          1.79556696e-07
108.77          1.79653864e-07
108.78          1.79731416e-07
108.79          1.79871797e-07
108.8           1.80026430e-07
108.81          1.80165517e-07
108.82          1.80326645e-07
108.83          1.80461229e-07
108.84          1.80648797e-07
108.85          1.80789548e-07
108.86          1.81008629e-07
108.87          1.81174309e-07
108.88          1.81400012e-07
108.89          1.81612179e-07
108.9           1.81838574e-07
108.91          1.82076174e-07
108.92          1.82292142e-07
108.93          1.82544071e-07
108.94          1.82874597e-07
108.95          1.83151993e-07
108.96          1.83378446e-07
108.97          1.83686613e-07
108.98          1.83993883e-07
108.99          1.84323354e-07
109             1.84627174e-07
109.01          1.84936552e-07
109.02          1.85282781e-07
109.03          1.85661144e-07
109.04          1.86033275e-07
109.05          1.86339642e-07
109.06          1.86799829e-07
109.07          1.87198106e-07
109.08          1.87591186e-07
109.09          1.87975210e-07
109.1           1.88422337e-07
109.11          1.88778480e-07
109.12          1.89249096e-07
109.13          1.89709759e-07
109.14          1.90155443e-07
109.15          1.90615652e-07
109.16          1.91098096e-07
109.17          1.91602742e-07
109.18          1.92056088e-07
109.19          1.92583529e-07
109.2           1.93072797e-07
109.21          1.93626898e-07
109.22          1.94167356e-07
109.23          1.94689252e-07
109.24          1.95230714e-07
109.25          1.95813668e-07
109.26          1.96371874e-07
109.27          1.96933242e-07
109.28          1.97537875e-07
109.29          1.98110092e-07
109.3           1.98729798e-07
109.31          1.99336602e-07
109.32          2.00046303e-07
109.33          2.00615716e-07
109.34          2.01224162e-07
109.35          2.01853265e-07
109.36          2.02506237e-07
109.37          2.03145569e-07
109.38          2.03840608e-07
109.39          2.04541916e-07
109.4           2.05190785e-07
109.41          2.05909295e-07
109.42          2.06654480e-07
109.43          2.07356257e-07
109.44          2.08063939e-07
109.45          2.08767592e-07
109.46          2.09475737e-07
109.47          2.10323193e-07
109.48          2.11073853e-07
109.49          2.11828730e-07
109.5           2.12605248e-07
109.51          2.13373908e-07
109.52          2.14168261e-07
109.53          2.14971810e-07
109.54          2.15760861e-07
109.55          2.16562879e-07
109.56          2.17414223e-07
109.57          2.18224780e-07
109.58          2.19085452e-07
109.59          2.19956688e-07
109.6           2.20792436e-07
109.61          2.21600378e-07
109.62          2.22518464e-07
109.63          2.23389310e-07
109.64          2.24324150e-07
109.65          2.25221007e-07
109.66          2.26125170e-07
109.67          2.27000260e-07
109.68          2.27926163e-07
109.69          2.28856289e-07
109.7           2.29796650e-07
109.71          2.30728762e-07
109.72          2.31711359e-07
109.73          2.32658634e-07
109.74          2.33596169e-07
109.75          2.34583860e-07
109.76          2.35560276e-07
109.77          2.36544728e-07
109.78          2.37562717e-07
109.79          2.38570740e-07
109.8           2.39570185e-07
109.81          2.40604930e-07
109.82          2.41594907e-07
109.83          2.42643522e-07
109.84          2.43708074e-07
109.85          2.44741202e-07
109.86          2.45755498e-07
109.87          2.46865557e-07
109.88          2.47887869e-07
109.89          2.48990799e-07
109.9           2.50047796e-07
109.91          2.51148084e-07
109.92          2.52244840e-07
109.93          2.53352240e-07
109.94          2.54483658e-07
109.95          2.55568412e-07
109.96          2.56673022e-07
109.97          2.57835942e-07
109.98          2.58920821e-07
109.99          2.60078612e-07
110             2.61214449e-07
110.01          2.62366727e-07
110.02          2.63545982e-07
110.03          2.64667729e-07
110.04          2.65827749e-07
110.05          2.67059231e-07
110.06          2.68192490e-07
110.07          2.69393490e-07
110.08          2.70577781e-07
110.09          2.71807020e-07
110.1           2.73016716e-07
110.11          2.74198151e-07
110.12          2.75392666e-07
110.13          2.76678355e-07
110.14          2.77863381e-07
110.15          2.79080651e-07
110.16          2.80323331e-07
110.17          2.81577259e-07
110.18          2.82853262e-07
110.19          2.84054600e-07
110.2           2.85295673e-07
110.21          2.86615110e-07
110.22          2.87869770e-07
110.23          2.89135587e-07
110.24          2.90429670e-07
110.25          2.91714035e-07
110.26          2.93020858e-07
110.27          2.94300291e-07
110.28          2.95562243e-07
110.29          2.96892064e-07
110.3           2.98187046e-07
110.31          2.99475592e-07
110.32          3.00808488e-07
110.33          3.02146998e-07
110.34          3.03451205e-07
110.35          3.04797225e-07
110.36          3.06129218e-07
110.37          3.07473207e-07
110.38          3.08810607e-07
110.39          3.10146177e-07
110.4           3.11494335e-07
110.41          3.12869825e-07
110.42          3.14229685e-07
110.43          3.15574487e-07
110.44          3.16941118e-07
110.45          3.18277959e-07
110.46          3.19664843e-07
110.47          3.21027499e-07
110.48          3.22399544e-07
110.49          3.23806593e-07
110.5           3.25205012e-07
110.51          3.26586621e-07
110.52          3.28010702e-07
110.53          3.29356339e-07
110.54          3.30775859e-07
110.55          3.32191526e-07
